refeitorio,data,refeicao,preparacao,cardapio,aparencia,textura,sabor,odor,global,nota,sheet_origem,ru,mes
Pici 1,2026-03-06,Almoço,PB,Isca de Frango Acebolado,3.0,3.0,3.0,4.0,4.0,6.4,Av. Sensorial,P1,2026-03
Pici 1,2026-03-06,Almoço,VEG,Maria Isabel Vegana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Porangabussu,2026-03-06,Almoço,PV,Dobradinha,3.0,4.0,5.0,4.0,4.0,7.8,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-06,Almoço,PB,Isca de Frango Acebolado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-06,Almoço,VEG,Maria Isabel Vegana,4.0,4.0,3.0,4.0,4.0,7.4,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-06,Almoço,PV,Dobradinha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-06,Almoço,PB,Isca de Frango Acebolado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-06,Almoço,VEG,Maria Isabel Vegana,4.0,4.0,3.0,4.0,4.0,7.4,Av. Sensorial,PO,2026-03
Pici 1,2026-03-06,Jantar,PV,Escondidinho de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Pici 1,2026-03-06,Jantar,PB,Sobrecoxa Desossada,4.0,4.0,3.0,4.0,4.0,7.6,Av. Sensorial,P1,2026-03
Pici 1,2026-03-06,Jantar,VEG,Bolinho de Ervilha com Aveia,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Pici 1,2026-03-06,Jantar,PV,Escondidinho de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Pici 1,2026-03-06,Jantar,PB,Sobrecoxa Desossada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Pici 1,2026-03-06,Jantar,VEG,Bolinho de Ervilha com Aveia,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Benfica,2026-03-06,Almoço,PV,Dobradinha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-06,Almoço,PB,Isca de Frango Acebolado,3.0,4.0,3.0,4.0,4.0,7.0,Av. Sensorial,B,2026-03
Benfica,2026-03-06,Almoço,VEG,Maria Isabel Vegana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-06,Jantar,PV,Escondidinho de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-06,Jantar,PB,Sobrecoxa Desossada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-06,Jantar,VEG,Bolinho de Ervilha com Aveia,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-06,Jantar,PV,Escondidinho de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-06,Jantar,PB,Sobrecoxa Desossada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-06,Jantar,VEG,Bolinho de Ervilha com Aveia,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,B,2026-03
Pici 2,2026-03-09,Café,ESPECIAL,Achocolatado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-03
Pici 2,2026-03-09,Café,ESPECIAL VEG,Achocolatado vegano ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-03
Pici 1,2026-03-09,Almoço,PV,Picadinho com Legumes,4.0,2.0,4.0,4.0,4.0,6.8,Av. Sensorial,P1,2026-03
Pici 1,2026-03-09,Almoço,PB,Sobrecoxa Assada,4.0,4.0,3.0,4.0,4.0,7.6,Av. Sensorial,P1,2026-03
Pici 1,2026-03-09,Almoço,VEG,Macarronada Vegetariana,4.0,4.0,3.0,4.0,4.0,7.4,Av. Sensorial,P1,2026-03
Benfica,2026-03-09,Café,ESPECIAL,Achocolatado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Labomar,2026-03-09,Almoço,PV,Picadinho com Legumes,2.0,2.0,2.0,4.0,2.0,4.4,Av. Sensorial,L,2026-03
Labomar,2026-03-09,Almoço,PB,Sobrecoxa Assada,3.0,3.0,4.0,4.0,3.0,6.6,Av. Sensorial,L,2026-03
Labomar,2026-03-09,Almoço,VEG,Macarronada Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,L,2026-03
Benfica,2026-03-09,Café,ESPECIAL VEG,Achocolatado vegano ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Pici 2,2026-03-09,Almoço,PV,Picadinho com Legumes,2.0,2.0,2.0,4.0,2.0,4.4,Av. Sensorial,P2,2026-03
Pici 2,2026-03-09,Almoço,PB,Sobrecoxa Assada,3.0,3.0,4.0,4.0,3.0,6.6,Av. Sensorial,P2,2026-03
Pici 2,2026-03-09,Almoço,VEG,Macarronada Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-03
Pici 2,2026-03-09,Almoço,PV,Picadinho com Legumes,3.0,3.0,4.0,4.0,3.0,6.6,Av. Sensorial,P2,2026-03
Pici 2,2026-03-09,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-03
Pici 2,2026-03-09,Almoço,VEG,Macarronada Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-03
Porangabussu,2026-03-09,Almoço,PV,Picadinho com Legumes,3.0,1.0,2.0,4.0,2.0,4.4,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-09,Almoço,PB,Sobrecoxa Assada,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-09,Almoço,VEG,Macarronada Vegetariana,4.0,4.0,5.0,4.0,4.0,8.6,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-09,Almoço,PV,Picadinho com Legumes,2.0,2.0,3.0,4.0,2.0,4.8,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-09,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-09,Almoço,VEG,Macarronada Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-03
Benfica,2026-03-09,Almoço,PV,Picadinho com Legumes,3.0,3.0,3.0,4.0,4.0,6.4,Av. Sensorial,B,2026-03
